Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Task,WMSF-232,10429,Xuất file JSON Swagger API Document và cập nhật tài liệu Backend,,,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,To Do,,19/Apr/26 8:04 PM,19/Apr/26 8:12 PM,
Task,WMSF-231,10428,Dùng Profiler kiểm tra DB và tối ưu các câu query N+1 (Thêm AsNoTracking),Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,To Do,,19/Apr/26 8:01 PM,20/Jun/26 8:12 PM,
Task,WMSF-230,10427,Viết Unit Test cho Service gọi AI OCR,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,To Do,,19/Apr/26 8:01 PM,20/Jun/26 8:12 PM,
Task,WMSF-229,10426,Viết Unit Test cho Service Thuật toán FIFO,Văn Đức Anh ,712020:90bbde8c-864f-4aa4-b84b-8d0c764d682f,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,To Do,,19/Apr/26 8:01 PM,20/Jun/26 8:12 PM,
Task,WMSF-228,10425,Chạy Test End-to-End luồng Outbound với nhiều khoang chứa khác nhau và fix bug,dung nguyentien,712020:1603fac4-982b-4df2-b1d2-dd62fc18f3f7,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,To Do,,19/Apr/26 8:00 PM,20/Jun/26 8:12 PM,
Task,WMSF-227,10424,Chạy Test End-to-End luồng Inbound với dữ liệu thật/giả định và fix bug,Văn Đức Anh ,712020:90bbde8c-864f-4aa4-b84b-8d0c764d682f,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,To Do,,19/Apr/26 8:00 PM,20/Jun/26 8:10 PM,
Task,WMSF-226,10423,Hiện cảnh báo UI và tự động retry đồng bộ lên Backend khi thiết bị có mạng lại trên Mobile,dung nguyentien,712020:1603fac4-982b-4df2-b1d2-dd62fc18f3f7,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,To Do,,19/Apr/26 8:00 PM,20/Jun/26 8:10 PM,
Task,WMSF-225,10422,Bắt sự kiện mất mạng và lưu tạm dữ liệu thao tác quét vào AsyncStorage trên Mobile,dung nguyentien,712020:1603fac4-982b-4df2-b1d2-dd62fc18f3f7,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,To Do,,19/Apr/26 8:00 PM,20/Jun/26 8:09 PM,
Task,WMSF-224,10421,"Tích hợp luồng ""Bàn giao vận chuyển"" bằng thao tác vuốt trên Mobile và gọi API final check",dung nguyentien,712020:1603fac4-982b-4df2-b1d2-dd62fc18f3f7,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,To Do,,19/Apr/26 7:59 PM,20/Jun/26 8:06 PM,
Task,WMSF-223,10420,Build chức năng vuốt ngang (Swipe to Confirm) trên Mobile,dung nguyentien,712020:1603fac4-982b-4df2-b1d2-dd62fc18f3f7,Thái Phạm Hồng,712020:7245e8df-ba9d-40c2-94a8-c7c86cbe405f,Medium,To Do,,19/Apr/26 7:59 PM,20/Jun/26 8:05 PM,
